State_Name,District_Name,Data Type,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec
ANDHRA PRADESH,ADILABAD,Precipitation,8.71,5.56,8.79,15.92,19.97,144.14,264.81,235.59,203.53,68.93,17.98,3.92
ANDHRA PRADESH,ADILABAD,Minimum temperature,15.37,17.64,21.19,24.71,27.16,25.39,23.46,23.06,22.72,20.64,16.86,14.14
ANDHRA PRADESH,ADILABAD,Average temperature,22.51,25.10,28.84,32.12,34.23,30.95,27.51,26.80,27.09,26.30,23.35,21.36
ANDHRA PRADESH,ADILABAD,Maximum temperature,29.70,32.61,36.53,39.56,41.34,36.56,31.58,30.55,31.49,32.00,29.85,28.64
ANDHRA PRADESH,ADILABAD,Cloud cover,12.44,11.16,21.65,23.06,31.85,58.79,79.75,76.37,61.16,36.17,20.97,15.11
ANDHRA PRADESH,ADILABAD,Vapour pressure,14.32,13.80,13.79,17.05,18.72,20.62,28.75,27.52,27.30,20.31,15.83,13.99
ANDHRA PRADESH,ADILABAD,Wet day frequency,0.83,0.95,0.97,1.31,1.81,8.42,12.83,11.21,8.08,3.43,1.21,0.66
ANDHRA PRADESH,ADILABAD,Diurnal temperature range,14.32,14.95,15.33,14.84,14.17,11.16,8.11,7.49,8.75,11.35,12.99,14.49
ANDHRA PRADESH,ADILABAD,Ground frost frequency,0.12,0.20,0.16,0.13,0.06,0.02,0.02,0.01,0.05,0.09,0.10,0.14
ANDHRA PRADESH,ADILABAD,Reference Crop Evapotranspiration,3.79,4.71,5.97,6.92,7.37,6.21,4.89,4.50,4.55,4.48,3.87,3.55
ANDHRA PRADESH,ADILABAD,Potential Evapotranspiration,5.93,6.77,7.63,8.35,8.63,7.42,5.80,5.37,5.70,6.23,6.03,5.78
ANDHRA PRADESH,ANANTAPUR,Precipitation,0.55,1.89,4.73,32.97,75.27,56.47,69.08,84.48,141.40,130.74,49.06,8.01
ANDHRA PRADESH,ANANTAPUR,Minimum temperature,16.24,18.04,20.64,22.90,22.93,21.98,21.35,21.12,20.77,20.22,18.10,16.27
ANDHRA PRADESH,ANANTAPUR,Average temperature,22.61,24.87,27.73,29.69,29.26,26.69,25.31,25.07,25.24,24.85,23.14,21.85
ANDHRA PRADESH,ANANTAPUR,Maximum temperature,29.05,31.76,34.88,36.49,35.60,31.46,29.30,29.06,29.74,29.51,28.20,27.47
